#,ticker
1,BTC
2,ETH
3,BNB
4,SOL
5,XRP
6,ADA
7,AVAX
8,LINK
9,DOGE
10,TRX
11,DOT
12,MATIC
13,TON
14,ICP
15,SHIB
16,BCH
17,LTC
18,UNI
19,LEO
20,ETC
21,ATOM
22,IMX
23,OP
24,NEAR
25,XLM
26,INJ
27,OKB
28,FIL
29,HBAR
30,XMR
